gene_symbol,Psmd14
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ECG_004_001
gene_accession_id,MGI:1913284
pvalue,0.5318241
parameter_name,RR
analysis_id,qi318nsg859nqz3
