analysis_id,5d2s55b0znl35c6
pvalue,0.4306882
gene_symbol,Ddx27
parameter_id,IMPC_GPP_004_001
mouse_strain,129SV
gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
parameter_name,Placenta Size
