analysis_id,858018h0v8x145m
pvalue,0.7239782
gene_symbol,Slc17a9
parameter_name,Aggression
gene_accession_id,MGI:1919107
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_079_001
mouse_strain,C57BL
