parameter_id,IMPC_GEP_017_001
pvalue,0.9156621
mouse_life_stage,Early adult
analysis_id,462qy1da0ba431f
mouse_strain,C57BL
gene_symbol,Arnt
parameter_name,Facial Morphology
gene_accession_id,MGI:88071
