parameter_name,HRV
pvalue,0.8161716
gene_symbol,Lpgat1
parameter_id,IMPC_ECG_010_001
mouse_life_stage,Early adult
analysis_id,14o762q88gh3el7
gene_accession_id,MGI:2446186
mouse_strain,C57BL
