gene_symbol,Bmp7
mouse_life_stage,Early adult
pvalue,0.194945
gene_accession_id,MGI:103302
mouse_strain,C57BL
parameter_name,Fusion of vertebrae
analysis_id,qm5d6eqq70fv320
parameter_id,M-G-P_006_001_026
