analysis_id,ltqmz6k37ik54bt
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
parameter_id,MGP_IMM_011_001
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of Treg
mouse_life_stage,E12.5
pvalue,0.7151605
