parameter_id,ICS_FEA_019_001
mouse_life_stage,E18.5
mouse_strain,C57BL
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
pvalue,0.8866245
parameter_name,% Freezing duration pre-cue-2
analysis_id,4l67y21m610mev1
