analysis_id,w720s10z9480qe1
mouse_strain,C50BL
gene_symbol,Slc30a4
parameter_name,Body Weight
pvalue,0.7444709
parameter_id,M-G-P_012_001_005
mouse_life_stage,Early adult
gene_accession_id,MGI:1345282
