parameter_name,Skull shape
mouse_life_stage,Early adult
analysis_id,fu548k94l14962i
gene_accession_id,MGI:103302
parameter_id,CCP_XRY_001_001
gene_symbol,Bmp7
pvalue,0.8644043
mouse_strain,C57BL
