parameter_id,IMPC_OFD_011_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,30e83h1a3tvt2ar
gene_accession_id,MGI:104805
pvalue,0.5157705
parameter_name,Periphery resting time
gene_symbol,Snrpb2
