mouse_life_stage,Middle aged adult
parameter_id,IMPC_OFD_021_001
analysis_id,y769w62m5wu2607
gene_symbol,Nucks1
pvalue,0.06915263
parameter_name,Number of rears - total
gene_accession_id,MGI:1934811
mouse_strain,C57BL
