analysis_id,36n96e252h2j5i3
gene_symbol,Zfp683
mouse_life_stage,Early adult
pvalue,0.8586118
mouse_strain,C57BL
parameter_name,NKT cells (panel A)
gene_accession_id,MGI:3650254
parameter_id,IMPC_IMM_004_001
