parameter_id,JAXLA_HBD_001_001
mouse_life_stage,E15.5
parameter_name,Total holepokes
analysis_id,99idt343lc082xl
mouse_strain,C57BL
gene_accession_id,MGI:88174
pvalue,0.4347647
gene_symbol,Bmi1
