analysis_id,do5mwl05b4e1fsi
mouse_strain,C57BL
parameter_id,MGP_IMM_033_001
gene_accession_id,MGI:88174
parameter_name,Total NK cells - % of CD45+
gene_symbol,Bmi1
pvalue,0.6493553
mouse_life_stage,Early adult
