parameter_name,Eosinophil number
parameter_id,MGP_PBI_040_001
mouse_strain,C57BL
analysis_id,wvey340ju36y6i3
pvalue,0.5475211
gene_symbol,Tbl1xr1
mouse_life_stage,Late adult
gene_accession_id,MGI:2441730
