analysis_id,04kn9exo05t58ew
mouse_strain,C57BL
gene_symbol,Snap23
mouse_life_stage,Early adult
pvalue,0.3751954
parameter_name,CD8 CD44-CD62L+ T cells
parameter_id,IMPC_IMM_034_001
gene_accession_id,MGI:109356
