gene_symbol,Nr0b2
parameter_id,MGP_MLN_063_001
mouse_life_stage,Early adult
pvalue,0.2510806
parameter_name,Total ab T cells - % of CD45+
gene_accession_id,MGI:1346344
analysis_id,8z8zqo0z17t67e6
mouse_strain,B6J
