analysis_id,55b375n4j142q20
parameter_id,JAX_OFD_016_001
parameter_name,Center permanence time
gene_accession_id,MGI:1913506
pvalue,0.5425183
mouse_life_stage,Early adult
gene_symbol,Ssr2
mouse_strain,C57BL
