gene_symbol,Amigo1
parameter_name,Coat - hair distribution - back
parameter_id,IMPC_CSD_011_001
gene_accession_id,MGI:2653612
mouse_strain,C57BL
pvalue,0.3363157
mouse_life_stage,Early adult
analysis_id,3hp89814qwz03br
