analysis_id,4p292tz73l73b45
parameter_id,IMPC_CBC_015_001
mouse_strain,C57BL
gene_symbol,Tiprl
pvalue,0.45073
parameter_name,Total cholesterol
mouse_life_stage,E9.5
gene_accession_id,MGI:1915087
