analysis_id,em7a29hd98me3md
gene_accession_id,MGI:3588214
gene_symbol,Rufy4
pvalue,0.4776493
parameter_id,HMGULA_CBC_015_001
parameter_name,Total cholesterol
mouse_life_stage,Early adult
mouse_strain,C57BL
