gene_symbol,Npbwr1
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_009_001
mouse_strain,C57BL
pvalue,0.9251898
gene_accession_id,MGI:891989
analysis_id,hxtifp5eucdu0l6
parameter_name,Calcium
