parameter_name,CV
parameter_id,IMPC_ECG_003_001
analysis_id,u48p9mfy08221j0
gene_accession_id,MGI:1914309
mouse_strain,C57BL
pvalue,0.9263695
mouse_life_stage,Early adult
gene_symbol,Ola1
