parameter_id,JAXLA_EYE_092_001
parameter_name,Retina (combined)
mouse_strain,C57BL
gene_symbol,Ap5s1
analysis_id,957a92vc019hw21
pvalue,0.4389148
mouse_life_stage,Early adult
gene_accession_id,MGI:1916846
