parameter_id,JAXLA_DXA_008_001
gene_symbol,SLC39A10
parameter_name,Lean/Body weight
gene_accession_id,MGI:1914515
mouse_life_stage,E9.5
mouse_strain,C57BL
analysis_id,qp5330h6q684uu4
pvalue,0.2468067
