parameter_id,JAX_OFD_010_001
gene_symbol,Tnfsf8
analysis_id,h5950yy78q66oi6
mouse_strain,C57BL
parameter_name,Periphery distance travelled
mouse_life_stage,Early adult
gene_accession_id,MGI:88328
pvalue,0.9784964
