parameter_name,Prepulse inhibition - PP3
parameter_id,ESLIM_011_001_703
analysis_id,30664vhs5pi53s9
pvalue,0.3753323
gene_symbol,Tbl1xr1
mouse_life_stage,Late adult
mouse_strain,C52BL
gene_accession_id,MGI:2441730
