gene_symbol,Mecom
parameter_id,IMPC_ECG_008_001
mouse_strain,C3H
pvalue,0.7187509
analysis_id,q8i13z7mf716u87
parameter_name,ST
mouse_life_stage,Early adult
gene_accession_id,MGI:95457
