analysis_id,n0f5222001jmkv0
parameter_id,HRWLLA_DXA_007_001
pvalue,0.6110091
parameter_name,BMC/Body weight
gene_symbol,Ift74
gene_accession_id,MGI:1914944
mouse_strain,C57BL
mouse_life_stage,Early adult
