analysis_id,7z51yd56eg26k3u
gene_symbol,Rab3gap2
gene_accession_id,MGI:1916043
parameter_name,Hindlimb nail - number
pvalue,0.1060287
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_051_002
