parameter_name,Whole arena resting time
gene_accession_id,MGI:2181659
analysis_id,z223csg6j1hv6j6
pvalue,0.07827252
gene_symbol,Tox
mouse_life_stage,Early adult
parameter_id,JAXLA_OFD_007_001
mouse_strain,C57BL
