gene_symbol,Atrn
gene_accession_id,MGI:1341628
mouse_strain,C57BL
analysis_id,e67342bhe0rlth4
pvalue,0.7408971
parameter_id,JAXLA_EYE_092_001
mouse_life_stage,Early adult
parameter_name,Retina (combined)
