analysis_id,zkk2l43fa8oe96d
mouse_strain,C57BL
gene_symbol,Bmi1
mouse_life_stage,E12.5
parameter_name,Periphery distance travelled
parameter_id,JAX_OFD_010_001
gene_accession_id,MGI:88174
pvalue,0.7202976
