gene_symbol,Ppm1j
analysis_id,5xf921d145my9z2
pvalue,0.7809455
mouse_life_stage,Early adult
gene_accession_id,MGI:1919137
parameter_id,IMPC_ABR_008_001
mouse_strain,C57BL
parameter_name,18kHz-evoked ABR Threshold
