analysis_id,c86d9y26b8a6053
gene_accession_id,MGI:109128
pvalue,6.949632e-07
mouse_strain,C57BL
parameter_name,Creatinine
mouse_life_stage,Late adult
parameter_id,HMGULA_CBC_005_001
gene_symbol,Hnf4a
