analysis_id,2b5q3914ko327h9
gene_accession_id,MGI:99501
mouse_life_stage,E15.5
parameter_name,Thoracic processes
mouse_strain,C57BL
pvalue,0.5393795
gene_symbol,Fgb
parameter_id,IMPC_XRY_064_001
