analysis_id,9l0d8c0yl52ap7s
gene_symbol,Mov10
mouse_life_stage,Early adult
gene_accession_id,MGI:97054
parameter_name,Chloride
pvalue,0.7079799
mouse_strain,C57BL
parameter_id,HMGULA_CBC_003_001
