gene_symbol,Hrnr
parameter_id,MGP_BMI_006_001
analysis_id,h7j669m5331xu13
gene_accession_id,MGI:3046938
pvalue,0.1420311
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
