gene_symbol,Snrpb2
mouse_life_stage,Early adult
gene_accession_id,MGI:104805
pvalue,0.1139871
mouse_strain,C57BL
parameter_name,Pale yolk sac
analysis_id,ab863fh4j5q92z6
parameter_id,IMPC_GEL_017_002
