analysis_id,2586t3209j3bn05
gene_accession_id,MGI:1913483
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_symbol,Dmap1
parameter_id,IMPC_CBC_053_001
parameter_name,Thyroxine
pvalue,0.403012
