analysis_id,pft99yz1sn6atkq
gene_symbol,Tiprl
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
parameter_id,MGP_PBI_030_001
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:1915087
pvalue,0.8708975
