parameter_id,IMPC_GEL_032_001
gene_accession_id,MGI:109356
mouse_life_stage,Late adult
parameter_name,Embryo Size
mouse_strain,C57BL
analysis_id,qmkm482ien61o96
gene_symbol,Snap23
pvalue,0.6976773
