analysis_id,8j536t963xsoi01
parameter_id,IMPC_GEP_076_001
gene_accession_id,MGI:88461
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Cleft palate
pvalue,0.5182834
gene_symbol,Col6a3
