parameter_name,Ly6Clow monocyte percentage
gene_symbol,Sema6c
pvalue,0.3788742
analysis_id,4eks9oa9726jp89
mouse_strain,C57BL
gene_accession_id,MGI:1338032
mouse_life_stage,Early adult
parameter_id,MGP_PBI_018_001
