analysis_id,5ermri79c6r8u52
parameter_name,KLRG1+ Treg cells - % of CD45+
gene_symbol,Exd1
pvalue,0.7617113
parameter_id,MGP_MLN_072_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
mouse_strain,C57BL
