parameter_name,Fusion of vertebrae
analysis_id,g116a0j2ipa66fw
parameter_id,M-G-P_006_001_026
pvalue,0.4182413
mouse_strain,C57BL
gene_accession_id,MGI:2685053
gene_symbol,Ntmt2
mouse_life_stage,Early adult
