parameter_name,Percent time in light
mouse_life_stage,Early adult
parameter_id,IMPC_LDT_008_001
gene_accession_id,MGI:2385156
mouse_strain,C57BL
pvalue,0.8737735
gene_symbol,Sdcbp2
analysis_id,b0f4a8790l330w3
