parameter_name,NK cell number
gene_accession_id,MGI:95835
analysis_id,0d0i37h7zulfbvq
mouse_strain,C57BL
pvalue,0.8329337
gene_symbol,Hspa5
mouse_life_stage,Early adult
parameter_id,MGP_PBI_027_001
