gene_symbol,Ufc1
parameter_name,Placenta Size
parameter_id,IMPC_GPP_004_001
mouse_strain,C57BL
pvalue,0.9792439
mouse_life_stage,Early adult
gene_accession_id,MGI:1913405
analysis_id,02t8z6k0zdx148s
