analysis_id,j49jd7l8n10xt10
pvalue,0.8452086
mouse_strain,C57BL
parameter_id,IMPC_ABR_008_001
mouse_life_stage,Early adult
gene_symbol,Maco1
parameter_name,18kHz-evoked ABR Threshold
gene_accession_id,MGI:1913396
