analysis_id,l04304661y6zugc
parameter_id,JAXLA_DXA_007_001
gene_accession_id,MGI:1920638
pvalue,0.865757
mouse_strain,129SV
parameter_name,BMC/Body weight
gene_symbol,Bpifa3
mouse_life_stage,Early adult
