parameter_name,Mean cell volume
pvalue,0.2001002
analysis_id,9348po45g77717w
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Hrnr
gene_accession_id,MGI:3046938
parameter_id,ESLIM_016_001_005
