analysis_id,21504h3avc8e3xw
mouse_strain,C57BL
gene_symbol,Fgb
pvalue,0.4501218
gene_accession_id,MGI:99501
mouse_life_stage,E15.5
parameter_name,Whole arena resting time
parameter_id,ESLIM_007_001_003
