parameter_name,Pale yolk sac
parameter_id,IMPC_GEL_017_002
mouse_life_stage,Early adult
pvalue,0.3548483
gene_symbol,Mms22l
analysis_id,xcg6qru1ll74k54
gene_accession_id,MGI:2684980
mouse_strain,C56BL
