gene_symbol,Jun
pvalue,0.34742
analysis_id,z9170n80ea22c1w
parameter_name,Tibia length
parameter_id,IMPC_XRY_033_001
mouse_life_stage,E15.5
gene_accession_id,MGI:96646
mouse_strain,C57BL
