parameter_name,Light side time spent
mouse_life_stage,Early adult
analysis_id,o2imka2j36421n9
parameter_id,JAX_LDT_002_001
mouse_strain,C57BL
gene_accession_id,MGI:95835
pvalue,0.640716
gene_symbol,Hspa5
