parameter_name,B1B Cells
pvalue,0.4251801
analysis_id,s9c7sh7r16bkeb6
gene_symbol,Ap5s1
gene_accession_id,MGI:1916846
parameter_id,IMPC_IMM_064_001
mouse_life_stage,Early adult
mouse_strain,C57BL
