gene_symbol,Ddx27
parameter_id,JAXLA_ECG_002_001
analysis_id,8r232w2ipxo7a4t
mouse_strain,129SV
pvalue,0.7271246
mouse_life_stage,Early adult
parameter_name,HR
gene_accession_id,MGI:2385884
