parameter_name,Zygomatic bone
mouse_strain,C57BL
pvalue,0.3376991
mouse_life_stage,Early adult
gene_accession_id,MGI:1929242
analysis_id,l0gw85yfh3417n9
parameter_id,IMPC_XRY_002_001
gene_symbol,Ivd
