analysis_id,9qh7yz532oqmw3f
pvalue,0.3896249
parameter_name,Aspartate aminotransferase
mouse_strain,C57BL
gene_accession_id,MGI:1914944
parameter_id,IMPC_CBC_012_001
mouse_life_stage,Early adult
gene_symbol,Ift74
