gene_symbol,Rnf114
mouse_life_stage,Early adult
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
pvalue,0.6569689
gene_accession_id,MGI:1933159
parameter_id,IMPC_FEA_106_001
mouse_strain,C57BL
analysis_id,3730l3m33v129rn
