analysis_id,z41s86y302i362c
pvalue,0.7911777
mouse_strain,C57BL
gene_accession_id,MGI:1915524
parameter_name,Snout morphology
mouse_life_stage,Early adult
gene_symbol,Toporsl
parameter_id,MGP_CSD_066_001
