Analysis_id,l2o1pu1c8pgo70q
gene_symbol,Atf3
gene_accession_id,MGI:109384
parameter_id,M-G-P_016_001_005
Parameter_name,Mean-cell-volume
mouse_life_stage,Early adult
pvalue,0.05219278
Mouse_strain,C57BL
